CDE - 000232;01/01/2019;05/01/2019;32;Grossiste;9;7
CDE - 0001728;01/01/2019;07/01/2019;31;Grossiste;4;5
CDE - 0001953;01/01/2019;09/01/2019;31;Détaillant;11;11
CDE - 0004442;01/01/2019;07/01/2019;50;Détaillant;11;7
CDE - 0004814;01/01/2019;05/01/2019;12;Détaillant;13;8
CDE - 0004946;01/01/2019;07/01/2019;18;Grossiste;5;5
CDE - 0001848;02/01/2019;20/01/2019;25;Grossiste;1;10
CDE - 0002920;02/01/2019;15/01/2019;20;Détaillant;5;5
CDE - 0004030;02/01/2019;06/01/2019;24;Export;5;11
CDE - 0004742;02/01/2019;11/01/2019;1;Grossiste;2;11
CDE - 0005646;02/01/2019;11/01/2019;46;Détaillant;11;7
CDE - 0005811;02/01/2019;16/01/2019;47;Détaillant;13;10
CDE - 000314;03/01/2019;09/01/2019;21;Grossiste;1;6
CDE - 0001770;03/01/2019;20/01/2019;33;Export;9;5
CDE - 0002468;03/01/2019;21/01/2019;4;Grossiste;13;8
CDE - 0002973;03/01/2019;21/01/2019;50;Grossiste;11;11
CDE - 0003880;03/01/2019;13/01/2019;48;Détaillant;5;9
CDE - 0006875;03/01/2019;11/01/2019;8;Export;7;9
CDE - 0008049;03/01/2019;14/01/2019;11;Export;7;10
CDE - 000924;04/01/2019;18/01/2019;50;Grossiste;2;7
CDE - 0001569;04/01/2019;22/01/2019;24;Grossiste;11;12
CDE - 0003199;04/01/2019;12/01/2019;35;Grossiste;11;7
CDE - 0005702;04/01/2019;10/01/2019;9;Détaillant;13;6
CDE - 0005952;04/01/2019;20/01/2019;28;Grossiste;1;10
CDE - 000980;05/01/2019;19/01/2019;25;Grossiste;7;7
CDE - 0002986;05/01/2019;20/01/2019;45;Export;13;6
CDE - 0003237;05/01/2019;12/01/2019;27;Grossiste;7;5
CDE - 0003733;05/01/2019;23/01/2019;22;Détaillant;8;7
CDE - 0004379;05/01/2019;19/01/2019;26;Grossiste;6;7
CDE - 0005970;05/01/2019;15/01/2019;17;Grossiste;5;10
CDE - 0007063;05/01/2019;18/01/2019;27;Grossiste;11;5
CDE - 0002062;06/01/2019;18/01/2019;29;Détaillant;9;7
CDE - 0002959;06/01/2019;13/01/2019;8;Export;5;9
CDE - 0003779;06/01/2019;21/01/2019;32;Grossiste;7;8
CDE - 0004046;06/01/2019;14/01/2019;5;Grossiste;2;7
CDE - 0004836;06/01/2019;14/01/2019;18;Détaillant;2;8
CDE - 0005229;06/01/2019;11/01/2019;4;Détaillant;1;9
CDE - 0005336;06/01/2019;21/01/2019;33;Grossiste;13;8
CDE - 0007048;06/01/2019;24/01/2019;4;Grossiste;9;9
CDE - 000327;07/01/2019;20/01/2019;48;Détaillant;1;7
CDE - 000644;07/01/2019;10/01/2019;13;Grossiste;1;9
CDE - 0002549;07/01/2019;24/01/2019;48;Grossiste;13;10
CDE - 0002822;07/01/2019;11/01/2019;15;Grossiste;2;9
CDE - 0003777;07/01/2019;13/01/2019;5;Export;7;9
CDE - 0003995;07/01/2019;14/01/2019;44;Grossiste;13;5
CDE - 0005961;07/01/2019;16/01/2019;14;Grossiste;7;8
CDE - 0006071;07/01/2019;15/01/2019;3;Grossiste;1;8
CDE - 0007276;07/01/2019;12/01/2019;9;Export;2;7
CDE - 0001610;08/01/2019;19/01/2019;3;Grossiste;8;10
CDE - 0002154;08/01/2019;21/01/2019;36;Détaillant;7;6
CDE - 0003253;08/01/2019;21/01/2019;10;Export;9;9
CDE - 0003704;08/01/2019;19/01/2019;9;Détaillant;1;11
CDE - 0004193;08/01/2019;17/01/2019;31;Export;3;6
CDE - 0004760;08/01/2019;21/01/2019;44;Détaillant;8;9
CDE - 0005886;08/01/2019;20/01/2019;16;Grossiste;7;5
CDE - 000834;09/01/2019;20/01/2019;43;Grossiste;11;6
CDE - 0002192;09/01/2019;26/01/2019;44;Grossiste;10;10
CDE - 0004455;09/01/2019;18/01/2019;40;Grossiste;2;5
CDE - 0004476;09/01/2019;25/01/2019;46;Grossiste;11;9
CDE - 0005731;09/01/2019;12/01/2019;1;Grossiste;2;7
CDE - 0008071;09/01/2019;12/01/2019;13;Détaillant;2;8
CDE - 000771;10/01/2019;16/01/2019;3;Détaillant;2;5
CDE - 0001479;10/01/2019;17/01/2019;28;Détaillant;2;6
CDE - 0001795;10/01/2019;16/01/2019;26;Grossiste;11;9
CDE - 0002193;10/01/2019;20/01/2019;50;Détaillant;7;12
CDE - 0001204;11/01/2019;28/01/2019;15;Grossiste;5;5
CDE - 0001228;11/01/2019;25/01/2019;35;Détaillant;1;10
CDE - 0001533;11/01/2019;18/01/2019;50;Grossiste;1;8
CDE - 0002339;11/01/2019;28/01/2019;14;Grossiste;10;10
CDE - 0004561;11/01/2019;26/01/2019;27;Détaillant;7;11
CDE - 0005447;11/01/2019;27/01/2019;47;Détaillant;7;12
CDE - 0006372;11/01/2019;23/01/2019;31;Grossiste;6;10
CDE - 0001227;12/01/2019;30/01/2019;50;Grossiste;5;11
